,Date,Users,year,month,day,day of week,weekend
458,2021-04-03,43,2021,4,3,5,True
459,2021-04-04,44,2021,4,4,6,True
460,2021-04-05,57,2021,4,5,0,False
461,2021-04-06,86,2021,4,6,1,False
462,2021-04-07,81,2021,4,7,2,False
463,2021-04-08,98,2021,4,8,3,False
464,2021-04-09,84,2021,4,9,4,False
465,2021-04-10,57,2021,4,10,5,True
466,2021-04-11,82,2021,4,11,6,True
467,2021-04-12,61,2021,4,12,0,False
468,2021-04-13,58,2021,4,13,1,False
469,2021-04-14,45,2021,4,14,2,False
470,2021-04-15,62,2021,4,15,3,False
471,2021-04-16,58,2021,4,16,4,False
472,2021-04-17,31,2021,4,17,5,True
473,2021-04-18,44,2021,4,18,6,True
474,2021-04-19,52,2021,4,19,0,False
475,2021-04-20,69,2021,4,20,1,False
476,2021-04-21,61,2021,4,21,2,False
477,2021-04-22,53,2021,4,22,3,False
478,2021-04-23,51,2021,4,23,4,False
479,2021-04-24,40,2021,4,24,5,True
480,2021-04-25,45,2021,4,25,6,True
481,2021-04-26,55,2021,4,26,0,False
482,2021-04-27,50,2021,4,27,1,False
483,2021-04-28,55,2021,4,28,2,False
484,2021-04-29,40,2021,4,29,3,False
485,2021-04-30,33,2021,4,30,4,False
486,2021-05-01,34,2021,5,1,5,True
487,2021-05-02,34,2021,5,2,6,True
488,2021-05-03,50,2021,5,3,0,False
489,2021-05-04,58,2021,5,4,1,False
490,2021-05-05,79,2021,5,5,2,False
491,2021-05-06,69,2021,5,6,3,False
492,2021-05-07,38,2021,5,7,4,False
493,2021-05-08,23,2021,5,8,5,True
494,2021-05-09,40,2021,5,9,6,True
495,2021-05-10,75,2021,5,10,0,False
496,2021-05-11,79,2021,5,11,1,False
497,2021-05-12,85,2021,5,12,2,False
498,2021-05-13,69,2021,5,13,3,False
499,2021-05-14,54,2021,5,14,4,False
500,2021-05-15,58,2021,5,15,5,True
501,2021-05-16,36,2021,5,16,6,True
502,2021-05-17,42,2021,5,17,0,False
503,2021-05-18,62,2021,5,18,1,False
504,2021-05-19,61,2021,5,19,2,False
505,2021-05-20,51,2021,5,20,3,False
506,2021-05-21,48,2021,5,21,4,False
507,2021-05-22,42,2021,5,22,5,True
508,2021-05-23,54,2021,5,23,6,True
509,2021-05-24,85,2021,5,24,0,False
510,2021-05-25,86,2021,5,25,1,False
511,2021-05-26,60,2021,5,26,2,False
512,2021-05-27,51,2021,5,27,3,False
513,2021-05-28,50,2021,5,28,4,False
514,2021-05-29,27,2021,5,29,5,True
515,2021-05-30,25,2021,5,30,6,True
516,2021-05-31,35,2021,5,31,0,False
517,2021-06-01,48,2021,6,1,1,False
518,2021-06-02,57,2021,6,2,2,False
519,2021-06-03,27,2021,6,3,3,False
520,2021-06-04,25,2021,6,4,4,False
521,2021-06-05,19,2021,6,5,5,True
522,2021-06-06,28,2021,6,6,6,True
523,2021-06-07,35,2021,6,7,0,False
524,2021-06-08,36,2021,6,8,1,False
525,2021-06-09,25,2021,6,9,2,False
526,2021-06-10,39,2021,6,10,3,False
527,2021-06-11,22,2021,6,11,4,False
528,2021-06-12,16,2021,6,12,5,True
529,2021-06-13,19,2021,6,13,6,True
530,2021-06-14,23,2021,6,14,0,False
531,2021-06-15,22,2021,6,15,1,False
532,2021-06-16,38,2021,6,16,2,False
533,2021-06-17,25,2021,6,17,3,False
534,2021-06-18,18,2021,6,18,4,False
535,2021-06-19,21,2021,6,19,5,True
536,2021-06-20,26,2021,6,20,6,True
537,2021-06-21,22,2021,6,21,0,False
538,2021-06-22,16,2021,6,22,1,False
539,2021-06-23,25,2021,6,23,2,False
540,2021-06-24,29,2021,6,24,3,False
541,2021-06-25,29,2021,6,25,4,False
542,2021-06-26,12,2021,6,26,5,True
543,2021-06-27,10,2021,6,27,6,True
544,2021-06-28,29,2021,6,28,0,False
545,2021-06-29,22,2021,6,29,1,False
546,2021-06-30,32,2021,6,30,2,False
547,2021-07-01,27,2021,7,1,3,False
548,2021-07-02,17,2021,7,2,4,False
549,2021-07-03,25,2021,7,3,5,True
550,2021-07-04,13,2021,7,4,6,True
551,2021-07-05,36,2021,7,5,0,False
552,2021-07-06,42,2021,7,6,1,False
553,2021-07-07,39,2021,7,7,2,False
554,2021-07-08,31,2021,7,8,3,False
555,2021-07-09,21,2021,7,9,4,False
556,2021-07-10,16,2021,7,10,5,True
557,2021-07-11,21,2021,7,11,6,True
558,2021-07-12,26,2021,7,12,0,False
559,2021-07-13,33,2021,7,13,1,False
560,2021-07-14,25,2021,7,14,2,False
561,2021-07-15,30,2021,7,15,3,False
562,2021-07-16,26,2021,7,16,4,False
563,2021-07-17,24,2021,7,17,5,True
564,2021-07-18,23,2021,7,18,6,True
565,2021-07-19,24,2021,7,19,0,False
566,2021-07-20,38,2021,7,20,1,False
567,2021-07-21,38,2021,7,21,2,False
568,2021-07-22,36,2021,7,22,3,False
569,2021-07-23,36,2021,7,23,4,False
570,2021-07-24,25,2021,7,24,5,True
571,2021-07-25,27,2021,7,25,6,True
572,2021-07-26,31,2021,7,26,0,False
573,2021-07-27,41,2021,7,27,1,False
